iter	Passed	Remaining
206	808	3097
207	810	3085
208	812	3073
209	818	3077
210	820	3066
211	822	3058
212	824	3045
213	826	3033
214	828	3023
215	833	3025
216	836	3019
217	838	3007
218	840	2995
219	841	2984
220	843	2973
221	848	2974
222	851	2965
223	853	2957
224	855	2945
225	856	2934
226	858	2923
227	864	2926
228	866	2917
229	868	2907
230	871	2899
231	872	2889
232	874	2878
233	879	2880
234	881	2870
235	884	2864
236	886	2853
237	888	2843
238	889	2832
239	894	2833
240	897	2827
241	900	2820
242	902	2810
243	903	2800
244	905	2790
245	909	2786
246	911	2777
247	913	2769
248	916	2762
249	917	2753
250	919	2744
251	922	2737
252	925	2733
253	928	2726
254	930	2718
255	932	2710
256	934	2702
257	936	2694
258	940	2689
259	942	2681
260	945	2677
261	950	2678
262	953	2671
263	956	2666
264	958	2658
265	960	2650
266	968	2658
267	972	2656
268	974	2648
269	976	2641
270	978	2633
271	986	2639
272	991	2641
273	999	2648
274	1001	2641
275	1004	2634
276	1006	2627
277	1009	2620
278	1020	2637
279	1023	2631
280	1025	2623
281	1029	2621
282	1032	2616
283	1034	2608
284	1036	2600
285	1039	2595
286	1043	2591
287	1048	2592
288	1053	2590
289	1055	2584
290	1057	2577
291	1062	2577
292	1065	2570
293	1070	2569
294	1073	2564
295	1077	2562
296	1082	2561
297	1084	2555
298	1087	2550
299	1090	2545
300	1093	2539
301	1098	2537
302	1100	2531
303	1102	2525
304	1105	2518
305	1111	2521
306	1115	2517
307	1118	2512
308	1120	2506
309	1143	2544
310	1149	2546
311	1151	2539
312	1158	2543
313	1160	2535
314	1163	2530
315	1166	2524
316	1168	2517
317	1171	2513
318	1174	2506
319	1192	2533
320	1194	2526
321	1196	2519
322	1199	2513
323	1206	2516
324	1208	2510
325	1214	2509
326	1216	2503
327	1221	2502
328	1223	2495
329	1229	2496
330	1232	2490
331	1236	2487
332	1250	2503
333	1254	2500
334	1256	2494
335	1259	2488
336	1261	2481
337	1263	2475
338	1265	2468
339	1270	2467
340	1273	2460
341	1276	2455
342	1279	2450
343	1283	2448
344	1285	2441
345	1300	2458
346	1303	2452
347	1306	2447
348	1310	2444
349	1314	2441
350	1316	2434
351	1318	2427
352	1321	2421
353	1323	2415
354	1329	2414
355	1332	2411
356	1336	2407
357	1339	2401
358	1341	2395
359	1346	2394
360	1349	2388
361	1355	2388
362	1358	2384
363	1362	2380
364	1376	2395
365	1379	2389
366	1401	2417
367	1403	2410
368	1406	2405
369	1409	2399
370	1411	2392
371	1413	2386
372	1416	2380
373	1418	2374
374	1423	2372
375	1425	2365
376	1431	2365
377	1433	2359
378	1440	2359
379	1442	2353
380	1445	2347
381	1448	2342
382	1451	2337
383	1456	2335
384	1459	2332
385	1473	2343
386	1475	2336
387	1480	2335
388	1482	2328
389	1486	2325
390	1493	2326
391	1495	2319
392	1506	2326
393	1512	2326
394	1520	2328
395	1522	2321
396	1525	2317
397	1527	2310
398	1529	2304
399	1531	2297
400	1534	2292
401	1537	2286
402	1541	2282
403	1543	2277
404	1546	2271
405	1554	2273
406	1556	2268
407	1558	2261
408	1560	2255
409	1567	2255
410	1569	2249
411	1572	2243
412	1576	2240
413	1578	2234
414	1583	2232
415	1588	2229
416	1590	2224
417	1593	2218
418	1603	2222
419	1605	2216
420	1607	2210
421	1615	2212
422	1617	2206
423	1620	2201
424	1623	2196
425	1625	2190
426	1632	2190
427	1636	2186
428	1639	2182
429	1648	2185
430	1653	2183
431	1656	2177
